,string,start_ms,end_ms,latency_ms
219,way,1911.0632,1914.9257,3.8624999999999545
220,they,1914.9614,1918.4403,3.478900000000067
221,"walk,",1918.4757,1922.5831,4.107400000000098
222,for,1922.622,1926.2668,3.644800000000032
223,fear,1926.3489,1929.9295,3.580600000000004
224,Thy,1929.9642,1933.8823,3.918100000000095
225,very,1933.9355,1939.1652,5.229699999999866
226,stones,1939.2038,1942.8906,3.6867999999999483
227,prate,1942.9329,1946.4955,3.562599999999975
228,of,1946.5315,1950.2017,3.6702000000000226
229,my,1950.2569,1955.2441,4.9871999999998025
230,whereabouts,1955.3218,1959.2785,3.9566999999999553
231,And,1959.314,1962.8157,3.501700000000028
232,take,1962.8496,1966.722,3.8723999999999705
233,the,1966.7575,1970.87,4.1124999999999545
234,present,1970.9377,1974.6044,3.6666999999999916
235,horror,1974.6498,1978.5182,3.868400000000065
236,from,1978.5748,1982.563,3.988200000000006
237,the,1982.6009,1987.0062,4.405300000000125
238,"time,",1987.0424,1990.5497,3.5072999999999865
239,Which,1990.5864,1993.9554,3.369000000000142
240,now,1994.0067,2000.3441,6.337400000000116
241,suits,2000.4093,2005.3978,4.988499999999931
242,with,2005.4342,2008.9651,3.530899999999974
243,it.,2009.0106,2013.1401,4.129500000000007
244,Whiles,2013.1759,2017.2476,4.071699999999964
245,I,2017.289,2021.0356,3.746599999999944
246,"threat,",2021.0774,2024.4075,3.3301000000001295
247,he,2024.4528,2028.1243,3.6714999999999236
248,lives.,2028.1608,2031.8833,3.7224999999998545
249,Words,2031.9381,2035.3091,3.370999999999867
250,to,2035.3591,2038.9657,3.6066000000000713
251,the,2039.0153,2042.3636,3.348299999999881
252,heat,2042.4084,2046.3275,3.9191000000000713
253,of,2046.3667,2050.2808,3.914099999999962
254,deeds,2050.3185,2053.7409,3.422399999999925
255,too,2053.7898,2057.1975,3.4077000000002045
256,cold,2057.2368,2061.8252,4.588400000000092
257,breath,2061.8745,2065.9096,4.035100000000057
258,gives.,2065.964,2069.4542,3.4902000000001863
259,A,2069.4989,2072.7637,3.264799999999923
260,bell,2072.8074,2076.3699,3.5625
261,rings.,2076.4134,2080.2786,3.8652000000001863
262,I,2080.3198,2083.6236,3.3037999999996828
263,"go,",2083.6645,2087.1102,3.4457000000002154
264,and,2087.1463,2090.9791,3.832800000000134
265,it,2091.0176,2094.728,3.710399999999936
266,is,2094.8393,2098.4636,3.6242999999999483
267,done.,2098.4999,2102.1972,3.6973000000002685
268,The,2102.2369,2105.9983,3.7614000000003216
269,bell,2106.0604,2110.1355,4.07510000000002
270,invites,2110.1829,2113.8067,3.6238000000003012
271,me.,2113.8439,2117.1768,3.332900000000336
272,Hear,2117.2131,2120.93,3.716899999999896
273,it,2120.9666,2126.3753,5.408699999999953
274,"not,",2126.4155,2130.5895,4.173999999999978
275,"Duncan,",2130.6291,2134.0508,3.4216999999998734
276,for,2134.0875,2138.0228,3.9353000000000975
277,it,2138.1254,2143.1341,5.008700000000317
278,is,2143.1736,2146.9577,3.784099999999853
279,a,2146.997,2150.4017,3.404700000000048
280,knell,2150.4363,2154.836,4.399699999999939
281,That,2154.8779,2159.2167,4.338799999999992
282,summons,2159.2546,2162.9778,3.723199999999906
283,thee,2163.0162,2166.6205,3.6042999999999665
284,to,2166.6529,2171.0845,4.431599999999889
285,heaven,2171.1249,2174.9716,3.8467000000000553
286,or,2175.0256,2178.6185,3.5929000000000997
287,to,2178.668,2182.0483,3.3802999999998065
288,hell.,2182.0824,2187.1885,5.106100000000424
