,string,start_ms,end_ms,latency_ms
250,t,1043.6263,1043.9625,0.3362000000001899
251,",",1043.991,1044.2995,0.3085000000000946
252, ,1044.3281,1044.6752,0.3470999999999549
253,f,1044.704,1045.0123,0.3083000000001448
254,a,1045.041,1045.4046,0.36360000000013315
255,t,1045.4385,1045.8245,0.38599999999996726
256,a,1045.857,1046.2521,0.3950999999999567
257,l,1046.3009,1046.7207,0.41980000000012296
258, ,1046.7552,1047.1348,0.3795999999999822
259,v,1047.1658,1047.5133,0.34750000000008185
260,i,1047.543,1047.8691,0.3260999999999967
261,s,1047.8972,1048.1983,0.3010999999999058
262,i,1048.2269,1048.5379,0.31100000000014916
263,o,1048.57,1048.8736,0.30359999999996035
264,n,1048.9031,1049.2429,0.33979999999996835
265,",",1049.2757,1049.6022,0.3265000000001237
266, ,1049.6319,1049.942,0.31009999999992033
267,s,1049.9722,1050.2848,0.3125999999999749
268,e,1050.3142,1050.6544,0.34019999999986794
269,n,1050.687,1051.0164,0.32940000000007785
270,s,1051.0499,1051.3693,0.31940000000008695
271,i,1051.3982,1051.7266,0.3283999999998741
272,b,1051.7549,1052.0534,0.2985000000001037
273,l,1052.0818,1052.3962,0.3143999999999778
274,e,1052.4244,1052.7248,0.3003999999998541
275, ,1052.7535,1053.0482,0.2946999999999207
276,T,1053.0774,1053.4356,0.3582000000001244
277,o,1053.4652,1053.9005,0.4352999999998701
278, ,1053.9484,1054.4869,0.5385000000001128
279,f,1054.5311,1054.9686,0.4375
280,e,1055.0041,1055.4387,0.43459999999981846
281,e,1055.4782,1055.8446,0.36639999999988504
282,l,1055.875,1056.1807,0.30569999999988795
283,i,1056.2218,1056.5558,0.33400000000006
284,n,1056.602,1056.9366,0.3345999999999094
285,g,1056.9652,1057.2796,0.3143999999999778
286, ,1057.3091,1057.6517,0.3425999999999476
287,a,1057.7082,1058.0716,0.363399999999956
288,s,1058.1033,1058.4946,0.3913000000000011
289, ,1058.5257,1058.8666,0.340900000000147
290,t,1058.8963,1059.2137,0.31739999999990687
291,o,1059.243,1059.542,0.29899999999997817
292, ,1059.5739,1059.8947,0.3207999999999629
293,s,1059.9232,1060.2248,0.30160000000000764
294,i,1060.2535,1060.5645,0.3109999999999218
295,g,1060.5933,1060.9003,0.30700000000001637
296,h,1060.9296,1061.2466,0.3170000000000073
297,t,1061.3033,1061.6608,0.35750000000007276
298,?,1061.6903,1062.0029,0.3125999999999749
299, ,1062.0381,1062.3538,0.31570000000010623
300,O,1062.3834,1062.6995,0.3161000000000058
301,r,1062.7281,1063.0343,0.3061999999999898
302, ,1063.0632,1063.3689,0.30569999999988795
303,a,1063.3971,1063.7094,0.3123000000000502
304,r,1063.7381,1064.0551,0.3170000000000073
305,t,1064.0836,1064.3785,0.29490000000009786
306, ,1064.4071,1064.7179,0.31080000000019936
307,t,1064.7502,1065.0718,0.32159999999998945
308,h,1065.1015,1065.4286,0.3270999999999731
309,o,1065.4678,1065.7702,0.3024000000000342
