,string,start_ms,end_ms,latency_ms
264,and,25743.2855,25826.7991,83.5135999999984
265,it,25826.986,25910.3988,83.41279999999824
266,is,25910.5976,25993.9855,83.3878999999979
267,done.,25994.1896,26078.0835,83.89389999999912
268,The,26078.2665,26167.286,89.01949999999852
269,bell,26167.3993,26253.8957,86.4964
270,invites,26254.0856,26337.4996,83.41400000000067
271,me.,26337.6823,26421.0279,83.34560000000056
272,Hear,26421.2529,26505.0058,83.7528999999995
273,it,26505.2533,26588.9006,83.64730000000054
274,"not,",26589.1029,26672.9357,83.83280000000013
275,"Duncan,",26673.1139,26756.4626,83.34869999999864
276,for,26756.6455,26839.8927,83.24720000000161
277,it,26840.0772,26924.217,84.13980000000083
278,is,26924.319,27008.0099,83.69090000000142
279,a,27008.1676,27091.6068,83.43920000000071
280,knell,27091.8077,27175.1163,83.3086000000003
281,That,27175.2942,27302.3957,127.10150000000067
282,summons,27302.576,27385.8651,83.28909999999814
283,thee,27386.3402,27469.5305,83.19030000000203
284,to,27469.7088,27640.8661,171.15729999999894
285,heaven,27640.9371,27744.1939,103.2567999999992
286,or,27744.4359,27846.9458,102.50990000000093
287,to,27847.1731,27950.2998,103.12670000000071
288,hell.,27950.5208,28053.6154,103.09460000000036
