,string,start_ms,end_ms,latency_ms
152,bloody,32173.7774,32349.9274,176.15000000000146
153,business,32350.0201,32520.8205,170.80040000000008
154,which,32520.9138,32688.1227,167.20890000000145
155,informs,32688.1972,33181.0234,492.8261999999995
156,Thus,33181.0575,33354.055,172.99749999999767
157,to,33354.0921,33523.2308,169.13869999999588
158,mine,33523.294,33691.4708,168.1768000000011
159,eyes.,33691.7044,33868.5684,176.86399999999412
160,Now,33868.6318,34072.1659,203.53409999999712
161,o’er,34072.2318,34241.9289,169.6970999999976
162,the,34242.0289,34410.4572,168.42829999999958
163,one-half,34410.523,34581.4719,170.94889999999577
164,world,34581.618,34760.6188,179.00079999999434
165,Nature,34760.6696,34927.9653,167.2957000000024
166,seems,34928.1061,35105.2621,177.15600000000268
167,"dead,",35105.3424,35275.6586,170.31620000000112
168,and,35275.7139,35449.5538,173.83989999999903
169,wicked,35449.6408,35620.7881,171.1472999999969
170,dreams,35621.046,35793.7591,172.71310000000085
171,abuse,35793.8438,35963.98,170.13620000000083
172,The,35964.1208,36141.4097,177.28889999999956
173,curtained,36141.4964,36309.5682,168.0717999999979
174,sleep.,36309.6615,36479.1971,169.5355999999956
175,Witchcraft,36479.3322,36654.0129,174.68070000000444
176,celebrates,36654.0813,36823.1204,169.03910000000178
177,Pale,36823.1879,37005.5213,182.33340000000317
178,Hecate’s,37005.5867,37187.1026,181.5158999999985
179,"off’rings,",37187.1708,37353.1931,166.0222999999969
180,and,37353.2422,37520.6977,167.4554999999964
181,withered,37520.7519,37687.3352,166.58329999999842
182,"murder,",37687.3921,37854.1237,166.73159999999916
183,Alarumed,37854.1925,38027.8812,173.68870000000607
184,by,38027.9491,38238.7271,210.77799999999843
185,his,38238.837,38413.7352,174.89820000000327
186,"sentinel,",38413.8107,38583.5742,169.76350000000093
187,the,38583.6491,38753.3054,169.6562999999951
188,"wolf,",38753.407,38930.7989,177.39190000000235
189,Whose,38930.9232,39105.4471,174.52390000000014
190,howl’s,39105.4951,39270.3408,164.84569999999803
191,his,39270.3788,39438.818,168.4392000000007
192,"watch,",39438.8843,39606.2773,167.39300000000367
193,thus,39606.3441,39780.0363,173.69219999999768
194,with,39780.075,39950.8547,170.77970000000641
195,his,39950.8927,40121.138,170.24530000000232
196,stealthy,40121.2338,40290.9123,169.6785000000018
197,"pace,",40290.9896,40465.6198,174.6301999999996
198,With,40465.7608,40668.2386,202.47780000000057
199,Tarquin’s,40668.2835,40839.1322,170.84870000000228
200,ravishing,40839.1993,41028.3503,189.15099999999802
201,"strides,",41028.4173,41196.1272,167.70990000000165
202,towards,41196.1993,41363.4195,167.2202000000034
203,his,41363.4874,41532.5791,169.0917000000045
204,design,41532.6466,41699.4699,166.82329999999638
205,Moves,41699.511,41872.1571,172.6460999999981
206,like,41872.2244,42044.3786,172.15419999999722
207,a,42044.4336,42217.4015,172.96790000000328
208,ghost.,42217.458,42390.9357,173.4777000000031
209,Thou,42391.029,42556.6397,165.61069999999745
210,sure,42556.6868,42722.8831,166.19629999999597
211,and,42722.9887,42894.7441,171.75540000000183
212,firm-set,42894.7807,43061.9758,167.19509999999718
213,"earth,",43062.0782,43247.3923,185.31409999999596
214,Hear,43247.4317,43421.4498,174.01810000000114
215,not,43421.484,43592.7538,171.26980000000185
216,my,43592.7975,43757.2862,164.4887000000017
217,"steps,",43757.3331,43922.8771,165.5439999999944
218,which,43922.937,44099.267,176.33000000000175
219,way,44099.3266,44263.2709,163.94430000000284
220,they,44263.3082,44429.5859,166.27769999999873
221,"walk,",44429.6347,44595.5571,165.92239999999583
222,for,44595.5938,44759.852,164.25819999999658
223,fear,44759.8868,44938.4695,178.58269999999902
224,Thy,44938.506,45115.999,177.4930000000022
225,very,45116.051,45285.9649,169.91389999999956
226,stones,45286.0084,45455.0321,169.02369999999792
227,prate,45455.0756,45625.8202,170.74460000000545
228,of,45625.8562,45790.3081,164.45190000000002
229,my,45790.3471,45954.7221,164.375
230,whereabouts,45954.7747,46130.8657,176.09100000000035
231,And,46130.9016,46302.9082,172.00660000000062
232,take,46302.9459,46472.1928,169.24689999999828
233,the,46472.2336,46949.3274,477.0938000000024
234,present,46949.5216,47436.7424,487.2208000000028
235,horror,47436.9891,47610.2857,173.2966000000015
236,from,47610.3712,47783.2777,172.90649999999732
237,the,47783.3442,47951.1478,167.80359999999928
238,"time,",47951.2168,48125.124,173.90720000000147
239,Which,48125.1907,48292.0838,166.89310000000114
240,now,48292.1511,48464.9556,172.80449999999837
241,suits,48465.0158,48637.1105,172.09470000000147
